"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"5","Worth every penny","Only heating issues also good for winter uses","Prince  Soni","Certified Buyer","1 month ago","0","1"
"5","Terrific purchase","After using S24 for 4 days am writing this reviewoverall a good compact and a handy phone if youwant a beast camera, clean UI, battery backup isslightly less but it's okay for average use if you wanta mobile for daily gaming than the battery backupwillbe lesser.lf you want good handy Samsungphone than go for it","Shishir Mistri","Certified Buyer","1 month ago","0","1"
"5","Mind-blowing purchase","Excellent mobile","Pankaj Kumar Tiwari","Certified Buyer","1 month ago","1","1"
"5","Super! Camera","The Samsung Galaxy S24 delivers a strong all-round camera performance, particularly in daylight. Its 50 MP main sensor captures sharp, detailed, and vibrant images with natural colors, while the ultrawide and selfie cameras perform well for landscapes and portraits, offering consistent color and exposure across lenses.","BIKASH  CHETIA","Certified Buyer","1 month ago","1","1"
"5","Perfect product!","Words can't describe this phone. If you are looking for an allrounder and you can sacrifice for battery. Then go for it","Flipkart Customer","Certified Buyer","1 month ago","1","1"
"","","","","","","",""
"5","Worth every penny","Camera 📸 10/10Performance 🎮 10/10Battery 🔋 8/10This phone only have 4000 mh battery but give good backup this phone capture better photo in night as compare to iphone 13 14 15 16 in half price this is an killer flagship level phone with 8 gen 3 snapdragon which give 120 fps in game buy this phone without any question","RUDRA RAPATWAR","Certified Buyer","1 month ago","1","1"
"5","Awesome","The Samsung Galaxy S24 is a well-regarded compact smartphone, praised for its vibrant and bright 120Hz display, powerful flagship performance, and excellent build quality. Its integrated Galaxy AI features, such as real-time translation and photo editing tools, are considered highlights. However, battery life can be a concern for heavy users, and the charging speeds are slower than some competitors. The cameras deliver good, social-media-ready photos, though some might prefer more detail from...","Ketan Ladda","Certified Buyer","1 month ago","1","1"
"5","Brilliant","The compact beast 🔥🔥In hand feel is so goodBattery backup is better. i am using on 60HrzCamera is good  but phone is warm quickly","Saurabh Dhavale","Certified Buyer","1 month ago","1","1"
"5","Simply awesome","Awesome","ARJUN  Sajeevan","Certified Buyer","1 month ago","1","1"
"5","Terrific purchase","Everything is top notch, but I want some little more backup.","Rishi Sinoriya","Certified Buyer","1 month ago","1","1"
"5","Simply awesome","10/10 phone fully satisfied, I love it.","Aditya Tekam","Certified Buyer","1 month ago","1","1"
"5","Awesome","Nice","Nayan Mali","Certified Buyer","1 month ago","1","0"
"5","Super!","Very good product,value for money","Flipkart Customer","Certified Buyer","1 month ago","0","1"
"5","Just wow!","GOOD","JATIN  Rajput","Certified Buyer","2 months ago","1","0"
"5","Terrific","Very good experience","Sekh Raju","Certified Buyer","2 months ago","1","1"
"","","","","","","",""
"5","Best in the market!","Great Phone,, Awesome Camera, Awesome Display,  Awesome Speed, Worth it.","Manpreet  Singh","Certified Buyer","10 months ago","1","1"
"4","Good quality product","the phone is amezing camera is very good display is amazing and the performance is also amazing but the bettry is decent i mean if u are a havy user with minimum of 10 hour of screen on time then u sholud leave it because u have charge it once or twise in a day.","Vivan  Jewriya","Certified Buyer","1 month ago","1","1"
"4","Delightful","Ita really","Amit Roy","Certified Buyer","1 month ago","1","1"
"3","Good","One star less for Exynos processor. Review after 6 months of use.Avoid phones with Exynos. Big lag in processing in every process. Irritating. Give feeling of buffering in earlier days on internet.","Abhijit Nagre","Certified Buyer","4 months ago","3","2"
"5","Perfect product!","Good and comfortable","venkatasubabrao somisetty","Certified Buyer","1 month ago","1","2"
"5","Terrific","The Samsung Galaxy S24 is a compact yet powerful flagship that perfectly balances performance, design, and practicality. Its Exynos 2400 chip delivers smooth multitasking and gaming, while the Dynamic AMOLED 2X 120Hz display offers stunning visuals. The camera system excels in detail and low light, and battery life comfortably lasts a full day, though 25W charging feels a bit slow.With One UI 6.1 + Galaxy AI, the software experience feels smart and intuitive, and 7 years of updates ensure l...","Swarit Krishna Sah","Certified Buyer","1 month ago","1","2"
"5","Terrific","The phone's design is sleek and modern, offering a comfortable feel in hand. Its performance is incredibly smooth, thanks to the powerful processor and ample RAM. The display is vibrant and bright, making content consumption a pleasure. The camera system captures stunning photos and videos in various lighting conditions. Overall, this phone offers a premium experience with its impressive features and capabilities.Thanks Flipkar as well...","Hasmukh  Raval","Certified Buyer","1 month ago","1","2"
"5","Great product","Guys overall phone is good but if you are heavy user you need to charge it twice a day 1 camera is too good i really like2 performance of phone is also very smooth3 yess there is heating issues sometime in basic task but not in extreme mild heat only4 display is very good even in sunlight 5 over all a good package desing is premium You guys can go with it if you are not a gamer","Akshit Chauhan","Certified Buyer","1 month ago","1","2"
"3","Good","After one month of proper use i figured out Camera is not too good as much as youtubers shows in their video with snapdragon 8gen3 performance and battery performance also improved but facing heating issues overall nothing big issues detected if you want to go for a bloatware free android experience must go for samsung and also in 39k price it is a good deal 🤝","Ram ratan Palsania","Certified Buyer","24 days ago","2","1"
"3","Nice","It's heating up like crazy, in just 5 minutes of setting up the phone it was already pretty hot. The battery is also draining super fast. It does not feel like old samsung phone as the UI and the look feels like an imitation of iphone. The Camera is not as great as mentioned by various reviewers either.For this price it's not worth it.Think twice before buying.","Flipkart Customer","Certified Buyer","1 month ago","2","1"
"","","","","","","",""
"1","Unsatisfactory","NEVER EVER BUY FROM FLIPKART.In this day and age, when we have a genuine reason as to why we should return a product, the same is rejected stating it is not in the policy. I have tried 3-4 times and the customer service is pathetic. No matter what happens please buy your mobiles only from AZ or the direct online store. FLIPKART is very unresponsive as a middleman and it is like talking to a wall.In other countries, people return the phone after using and get the preferred one, even after ...","Shanthini BS","Certified Buyer","Oct, 2024","211","23"
"3","Nice","Battery problem facing","Trilok  Singh","Certified Buyer","4 days ago","1","0"
"3","Good","Small Battery","Flipkart Customer","Certified Buyer","17 days ago","1","0"
"3","Fair","Phone heating","GOPICHAND MALOTH","Certified Buyer","30 days ago","1","0"
"3","Just okay","Heating On 5g network","Falguni Padhan","Certified Buyer","1 month ago","1","0"
"3","Good","Whatapps video call heating problem","Jawahar Singh","Certified Buyer","1 month ago","0","0"
"3","Good","All is good but battery performance very low","Sangram Keshari Mohanty","Certified Buyer","1 month ago","0","0"
"3","Terrific purchase","Worth it","Gopalakrishnan R","Certified Buyer","1 month ago","0","0"
"3","Fair","I am iphone user this is not for me type too much heat and lag","Alok  Nigam","Certified Buyer","1 month ago","1","0"
"3","Just okay","Very good phone under 40k flagship level proformance and camera but decent battery life","Ankush Sahani","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"3","Decent product","It's s grate smart phone in this budget","Bijoy Barman","Certified Buyer","1 month ago","1","0"
"3","Good","It have heating issue When you open camera for 5 to 10 minutes. It's camera also not that good enough. In this price range other phones gives much better performance and camera clearity and features.","Deepak Jangid","Certified Buyer","1 month ago","1","0"
"3","Decent product","Battary poor","Subhash  Kumar","Certified Buyer","1 month ago","1","0"
"3","Does the job","I used this phone for 1 week i found smoe lags and phone is heating a lot","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"3","Fair","A good phone. Only drawback is battery capacity .","Swapnil Bhosle","Certified Buyer","1 month ago","1","0"
"3","Decent product","Heating issue is genuine. Rest everything is average.","Saurabh  Kumar Singh","Certified Buyer","1 month ago","1","0"
"3","Nice","To the point while using this flagship for day It's heating a lot and battery is draining fast though its design and performance is quiet good at this price seg Since it is heating like hell in a normal use  , my excitement turn into disappointment U should go for another phone If u are OK with heating probo.. then u can buy it It's definitely handy phone feels premium but edges are not smooth","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"3","Does the job","Mobile is awesome,  but battery is very bad","Chandrashekhar Reddy","Certified Buyer","1 month ago","0","0"
"3","Fair","It is great premium compact phone under 40k. But facing heating issue since day 1. Some say that the software takes time to analyse the usage pattern and save battery and not to get heated. Need to see. But this level of heating issue is not expected from a premium smartphone","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"3","Decent product","Battery problem bas","Flipkart Customer","Certified Buyer","2 months ago","1","0"
"","","","","","","",""
"5","Brilliant","Upgraded to 16 from 13, feels like coming to a new world 😂😂","Devang Gupta","Certified Buyer","2 months ago","1","3"
"3","Does the job","camera quality is not good","Vishv Vikas Patidar","Certified Buyer","1 month ago","3","3"
"3","Decent product","It has wrost battery performance and literally I am warning these who are going to purchase a mobile which is almost 60k  it has terrible heat problem if you have AC go for it if not don't ever purchase it as in normal use it heats like a burnt coal","Rudraksh Dubey","Certified Buyer","1 month ago","3","2"
"4","Good quality product","Good 👍","Roufur Rohim","Certified Buyer","9 months ago","1","3"
"5","Classy product","Awesome mobile good price","Kiran","Certified Buyer","Today","0","0"
"5","Wonderful","Absolutely good","Sanju Gamit","Certified Buyer","Today","0","0"
"4","Wonderful","Good","Satyajit  Dhamudia","Certified Buyer","1 day ago","0","0"
"4","Good choice","Phone heats a lot using camera..","Nil Deka","Certified Buyer","1 day ago","0","0"
"5","Must buy!","The product is very good performance and battery backup is good mobile in hand feelings smoothness very better than other mobile camera quality also good video quality superb 👌 👍","Bhaskar Talukdar","Certified Buyer","1 day ago","0","0"
"5","Worth every penny","Gd","Vicky Sher","Certified Buyer","1 day ago","0","0"
"","","","","","","",""
"5","Best in the market!","Best phone","Nitish Kumar  Suman","Certified Buyer","1 day ago","0","0"
"5","Highly recommended","Excellent 👍🏻 flagship flagship only... Samsung never disappoints with flagship phone 📱","SHAIK GOUSE BASHA","Certified Buyer","2 days ago","0","0"
"5","Brilliant","There is no need for further elaboration. The provided images effectively showcase the excellent camera capabilities of this phone. However, in practical daily use, the device experiences battery backup issues due to its relatively low battery capacity of only 4000mAh.","jitendra kumar pradhan","Certified Buyer","2 days ago","0","0"
"5","Classy product","According to price Awesome 👌","VINAY KUMAR","Certified Buyer","3 days ago","0","0"
"4","Worth the money","Mobile is very good 👍","Bhupender Kumar","Certified Buyer","3 days ago","0","0"
"5","Terrific purchase","I just love my S24, Dilshad's S24 suits on me","Dilshad  Khan","Certified Buyer","3 days ago","0","0"
"5","Must buy!","Awesome picture quality and good build Quality n des","CHETAN KACHARE","Certified Buyer","3 days ago","0","0"
"5","Must buy!","Good phone","Shek Sahabuddin","Certified Buyer","4 days ago","0","0"
"4","Really Nice","Ok","Flipkart Customer","Certified Buyer","4 days ago","0","0"
"5","Worth every penny","It's a classy phone!!","Abhay  Pradhan","Certified Buyer","4 days ago","0","0"
"","","","","","","",""
"5","Mind-blowing purchase","Camera quality and performance is top notch 👌  and I've been using it for 2 months.  The only problem is battery otherwise is the best phone","MAKHIAN","Certified Buyer","4 days ago","0","0"
"2","Bad quality","Bettry backup is very poor.Phone setting functions should have been simple.","Rajnish Kumar","Certified Buyer","4 days ago","1","0"
"4","Worth the money","Great 👍","MOON  BARUAH","Certified Buyer","5 days ago","0","0"
"5","Best in the market!","Very good 👍👍👍👍","Noor Maan","Certified Buyer","5 days ago","0","0"
"5","Fabulous!","Best phone in overall parformnace","Lalit Kumar","Certified Buyer","5 days ago","0","0"
"5","Terrific","Very nice mobile","Ajay Ajay","Certified Buyer","5 days ago","0","0"
"5","Just wow!","Power house","Chitul  Das","Certified Buyer","6 days ago","0","0"
"5","Best in the market!","Good 👍","Bobby Tati","Certified Buyer","6 days ago","0","0"
"5","Excellent","Amazing  q","Raj Yuvraj sinh","Certified Buyer","6 days ago","0","0"
"5","Excellent","Awesome 👌","MOHSIN  ANSARI","Certified Buyer","6 days ago","0","0"
"","","","","","","",""
"2","Expected a better product","Not good daly u","Pradip Chandra roy Customer","Certified Buyer","6 days ago","1","1"
"2","Not good","Apple is more more better than this stupid","SRav Tanwar","Certified Buyer","7 days ago","1","7"
"5","Highly recommended","Great","Avirup Pal","Certified Buyer","7 days ago","0","0"
"5","Just wow!","Best flagship phone for this price .","Flipkart Customer","Certified Buyer","7 days ago","0","0"
"4","Good choice","I love this phone","Rajendra Thakur","Certified Buyer","7 days ago","0","0"
"5","Awesome","Must buy, one of the performance phone in below 40k","Flipkart Customer","Certified Buyer","7 days ago","0","0"
"5","Excellent","Great Purchase Just one downside is that Battery Backup A bit lower Will get 5.30 to 6 hours Screen On Time.Tips:- Reduce Refresh Rate to 60Hzs and Off Always on Display To Get Maximum Battery is Battery is Your Priority.Peace Out👍","Kundan Kumar","Certified Buyer","7 days ago","0","0"
"4","Nice product","Nice Design","Beam NG","Certified Buyer","7 days ago","0","0"
"4","Nice product","Awesome product","Nagesh Tillu","Certified Buyer","7 days ago","0","0"
"5","Worth every penny","Very good","Kapil Rawani","Certified Buyer","7 days ago","0","0"
"","","","","","","",""
"2","Waste of money!","Speaker problem in 1 week","Satyajit Daimari","Certified Buyer","7 days ago","1","0"
"5","Excellent","Best phone","Flipkart Customer","Certified Buyer","7 days ago","0","0"
"4","Delightful","Good","Pratap kumar  MALLIK","Certified Buyer","7 days ago","0","0"
"5","Perfect product!","I m happy to this phone","Vinay Jaiswal","Certified Buyer","7 days ago","0","0"
"3","Samsung S24 5G vs iPhoe 16 review.","Used Samsung Galaxy S24 5G extensively for over 20 days. In compariosn of iPhone 16, the S24 stand nowhere near to iPhone 16 in terms UI, security, Camera etc.The landing screen of both the phone is highly different and iPhone stands class apart. In terms of frequent notification, iPhone display it in a very nice way without actually opening the phone which is completely lacking in S24. The onlu feature of S24 is use of dual camera while recording is something not available in iPhone. Further...","Hari Shankar Sharma AC SAIL ISP","Certified Buyer","7 days ago","0","4"
"5","Mind-blowing purchase","Good 👍","Naresh Bhati","Certified Buyer","7 days ago","0","0"
"5","Awesome","Overall it's fine, camera, sound quality,performance is good.....charging is too slow. Takes almost 2 mins for charging 1% with 35W charger, but notification says fast charging. Disappointed with battery performance too.","Bishal  Das","Certified Buyer","7 days ago","0","0"
"5","Perfect product!","Grt","himanshu kumar","Certified Buyer","7 days ago","0","0"
"3","Just okay","Varry nice","Somenath Dey","Certified Buyer","7 days ago","0","0"
"5","Classy product","Best","Alvi Sarkar","Certified Buyer","8 days ago","0","0"
"","","","","","","",""
"5","Just wow!","Always Feel special with sansun","Flipkart Customer","Certified Buyer","8 days ago","0","0"
"5","Perfect product!","Fabulous 👌","TUSHAR BHANDARI","Certified Buyer","8 days ago","0","0"
"5","Simply awesome","Best in class","Jafru Deen","Certified Buyer","8 days ago","0","0"
"3","Decent product","Best Mobile for Photography 📸","Flipkart Customer","Certified Buyer","8 days ago","0","0"
"3","Does the job","Heating issues and videography is poor 🤡","Mayur Rathod","Certified Buyer","8 days ago","0","0"
"5","Classy product","Superb","Flipkart Customer","Certified Buyer","8 days ago","0","0"
"5","Great product","Its a wonderfull mobile best mobile in 35k to 40k budget. Camera - best camera, you can compare it to S24ultraDisplay - Best in the classBattery - my screen time 4hrs to 5hrs, I have to charge it twice a dayPerformance - very smooth and no lagUI - Best experianceI will recommend this mobile","Ankit Khanna","Certified Buyer","9 days ago","0","0"
"4","Good choice","Good product","Saurav Rana","Certified Buyer","9 days ago","0","0"
"5","Worth every penny","Grate camera but battery 💔","Manu M","Certified Buyer","9 days ago","0","0"
"4","Pretty good","Nice phone Battery not good","Mohd Islamuddin","Certified Buyer","9 days ago","0","0"
"","","","","","","",""
"1","Hated it!","Worst phone for pubg please don't buy.","Mangbiang Kharmawlong","Certified Buyer","9 days ago","1","4"
"5","Super!","Very nice product on this price","MASUM Sk","Certified Buyer","9 days ago","0","0"
"5","Excellent","I expect better camera , some realme users compare my s24 with there phone and told me , there camera is better than s24 , and I see the clear difference.  But It is okay, may be after some update it may become better. But Overall it is performance phone. Go for it","Agrim Varshney","Certified Buyer","9 days ago","0","0"
"5","Great product","Good","Abhishek  Dhirani","Certified Buyer","9 days ago","0","0"
"5","Excellent","Top mobile Sound top","Flipkart Customer","Certified Buyer","9 days ago","0","0"
"5","Perfect product!","S24 is One of the best phone. I loved it 😍 No lagging and regular updates. Your life makes easier !!!!","Niranjan Kumbhar","Certified Buyer","9 days ago","0","0"
"5","Best in the market!","NICE","AMAN  RAJ","Certified Buyer","10 days ago","0","0"
"5","Mind-blowing purchase","Excellent 👍🏻","Debanga Mallick","Certified Buyer","10 days ago","0","0"
"5","Just wow!","The best at this price","Poornima Naik","Certified Buyer","10 days ago","0","0"
"5","Perfect product!","Good","Flipkart Customer","Certified Buyer","10 days ago","0","0"
"","","","","","","",""
